,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.ncbi.nlm.nih.gov/gene/?term=,,,"Enter below the search word(s) contained in column E, gene description--current count for T cells is 9",,,,,,,,,,,,,,X11249_average counts,X11250_average counts,X11251_average counts,X11253_average counts,X11257_average counts,X11258_average counts,X11247_average counts,X11248_average counts,X11252_average counts,X11254_average counts,X11255_average counts,X11256_average counts,,,,,,0.05,2,-2
Gltpd1,Gltpd1,0,#N/A,#N/A,,#N/A,#N/A, 0.54 ,2,-1.86,7.396564723,-0.916475126,0.501251217,-1.828374867,0.0675,0.99974,2,-1.89, 7.0 , 7.6 , 5.7 , 3.7 , 3.5 , 3.6 , 8.2 , 8.5 , 7.8 , 16.6 , 7.6 , 9.1 ,,,,,,,,
Cks2,Cks2,66197,"1110038L14Rik, CKSHS2",CDC28 protein kinase regulatory subunit 2,,13_51645232_51650662,3, 1.40 ,1,1.40,61.85523067,0.464832196,0.254293122,1.827938533,0.0676,0.99974,1,1.38, 63.5 , 98.5 , 52.8 , 64.7 , 76.8 , 77.2 , 38.8 , 55.2 , 35.8 , 49.8 , 77.8 , 51.3 ,,,,,,,,
Fhl2,Fhl2,14200,"FHL-2, SLIM-3, SLIM3",four and a half LIM domains 2,,1_43123071_43198299,8, 0.26 ,4,-3.81,1.99274539,-2.044869927,1.121705623,-1.823000514,0.0683,0.99974,4,-4.13, 0.9 , -   , 1.1 , -   , 1.2 , 1.8 , 8.7 , 2.4 , -   , 1.0 , 0.8 , 6.0 ,,,,,,,,
Diap1,Diap1,0,#N/A,#N/A,,#N/A,#N/A, 0.20 ,5,-5.04,2.059128959,-2.149251314,1.178985183,-1.822967197,0.0683,0.99974,4,-4.44, -   , -   , 1.1 , 0.6 , 2.3 , -   , 4.7 , 1.2 , 10.9 , -   , 3.8 , -   ,,,,,,,,
Rsph9,Rsph9,75564,1700027N10Rik,radial spoke head 9 homolog (Chlamydomonas),,17_46122038_46144243,7, 3.11 ,3,3.11,2.961717224,1.643120622,0.902506324,1.820619511,0.0687,0.99974,3,3.12, 4.3 , 2.5 , 12.6 , 7.4 , -   , -   , 2.1 , 1.2 , 1.6 , -   , 2.3 , 1.5 ,,,,,,,,
Ms4a2,Ms4a2,14126,"FcRB, Fce1b, Fcer1b, Fcrbeta, Ms4a1, fcERI","membrane-spanning 4-domains, subfamily A, member 2",,19_11615517_11623790,8, 5.52 ,6,5.52,1.270046612,2.485649229,1.366121755,1.819493189,0.0688,0.99974,6,5.60, 0.9 , 2.5 , -   , -   , 2.3 , 7.2 , 0.2 , 0.6 , 1.6 , -   , -   , -   ,,,,,,,,
2510002D24Rik,2510002D24Rik,72307,"2410043I01Rik, AA163535, AA409624, DXMgi27",RIKEN cDNA 2510002D24 gene,,16_18836580_18840113,3, 0.28 ,4,-3.63,2.059936787,-1.785565621,0.983157722,-1.816153788,0.0693,0.99974,3,-3.45, -   , -   , 1.1 , 1.2 , 1.2 , 1.8 , 4.0 , 1.2 , 6.2 , 4.1 , 2.3 , 1.5 ,,,,,,,,
1110008F13Rik,1110008F13Rik,67388,AI316789,RIKEN cDNA 1110008F13 gene,,2_156863122_156873563,4, 0.72 ,1,-1.39,176.9722326,-0.469541325,0.25891389,-1.813503804,0.0698,0.99974,1,-1.38, 168.7 , 143.9 , 96.3 , 186.8 , 114.0 , 179.5 , 137.3 , 185.7 , 121.6 , 247.7 , 282.3 , 259.7 ,,,,,,,,
Anln,Anln,68743,"1110037A17Rik, 2900037I21Rik, C78101, Scraps","anillin, actin binding protein",,9_22331214_22389733,27, -   ,#DIV/0!,#DIV/0!,0.94297437,-2.989877204,1.649243788,-1.812877651,0.0699,0.99974,8,-7.94, -   , -   , -   , -   , -   , -   , 0.5 , -   , 6.2 , -   , 3.1 , 1.5 ,,,,,,,,
Neat1,Neat1,66961,"2310043N10Rik, VINC",nuclear paraspeckle assembly transcript 1 (non-protein coding),,19_5824708_5845480,1, 0.47 ,2,-2.11,7.576732155,-1.087404924,0.600762674,-1.810040755,0.0703,0.99974,2,-2.12, 2.6 , 5.1 , 13.8 , 1.8 , 2.3 , 3.6 , 4.7 , 5.5 , 12.5 , 15.5 , 16.0 , 7.6 ,,,,,,,,
Ndrg3,Ndrg3,29812,"4833415O14Rik, AI747193, Ndr3",N-myc downstream regulated gene 3,,2_156927342_156992111,20, 0.58 ,2,-1.73,11.82865102,-0.764036286,0.422153897,-1.809852501,0.0703,0.99974,2,-1.70, 11.3 , 5.1 , 9.2 , 8.6 , 7.0 , 10.8 , 13.9 , 24.3 , 18.7 , 13.5 , 7.6 , 12.1 ,,,,,,,,
2810004N23Rik,2810004N23Rik,66523,"3110004G14Rik, Ayu21-55, Gt(pU21)55Imeg, GtAyu21-55",RIKEN cDNA 2810004N23 gene,,8_124839355_124863029,7, 2.48 ,2,2.48,7.229274969,1.1986929,0.662497092,1.809355715,0.0704,0.99974,2,2.30, 10.4 , 7.6 , 13.8 , 2.5 , 18.6 , 9.0 , 10.8 , 4.2 , 3.1 , -   , 0.8 , 6.0 ,,,,,,,,
Tardbp,Tardbp,230908,"1190002A23Rik, C85084, TDP-43, Tdp43",TAR DNA binding protein,,4_148612382_148626996,8, 1.33 ,1,1.33,90.12225268,0.396670081,0.219310581,1.808713832,0.0705,0.99974,1,1.32, 102.6 , 146.5 , 82.6 , 111.0 , 84.9 , 89.8 , 63.6 , 93.4 , 60.8 , 89.1 , 81.6 , 75.5 ,,,,,,,,
Tm2d2,Tm2d2,69742,"2410018G23Rik, Blp1",TM2 domain containing 2,,8_25017211_25023260,4, 0.73 ,1,-1.37,186.7239394,-0.442150412,0.244553415,-1.807991161,0.0706,0.99974,1,-1.36, 153.9 , 96.0 , 166.3 , 203.5 , 151.3 , 174.1 , 144.5 , 214.2 , 134.0 , 241.5 , 264.0 , 297.5 ,,,,,,,,
Adh1,Adh1,11522,"ADH-AA, AI194826, Adh-1, Adh-1-t, Adh-1e, Adh-1t, Adh-3e-e, Adh1-t, Adh1tl, Adh3-e, Adh1",alcohol dehydrogenase 1 (class I),,3_138277645_138290691,9, 0.10 ,10,-10.33,1.082500124,-2.668827985,1.476787477,-1.80718487,0.0707,0.99974,6,-6.36, -   , -   , 1.1 , -   , -   , -   , 1.6 , -   , 1.6 , 4.1 , 4.6 , -   ,,,,,,,,
Atp7a,Atp7a,11977,MNK,"ATPase, Cu++ transporting, alpha polypeptide",,X_106027224_106128160,23, 4.64 ,5,4.64,2.270278519,1.806419203,0.999725308,1.806915549,0.0708,0.99974,3,3.50, 3.5 , 2.5 , 5.7 , -   , 3.5 , 7.2 , 2.4 , 0.6 , -   , 1.0 , 0.8 , -   ,,,,,,,,
Ftsj1,Ftsj1,54632,"AI931847, Ftsj, Ftsjl, Sfc12",FtsJ RNA methyltransferase homolog 1 (E. coli),,X_8238668_8252406,13, 0.42 ,2,-2.37,3.868591184,-1.392020278,0.771108487,-1.80521976,0.0710,0.99974,3,-2.62, 0.9 , 7.6 , 1.1 , 1.8 , 2.3 , -   , 3.6 , 3.0 , 3.1 , 6.2 , 3.1 , 13.6 ,,,,,,,,
Dhrs7b,Dhrs7b,216820,"BC003479, C79874, C80074, PexRAP",dehydrogenase/reductase (SDR family) member 7B,,11_60830631_60858423,8, 0.52 ,2,-1.91,13.7435221,-0.79317826,0.439848567,-1.803298497,0.0713,0.99974,2,-1.73, 8.7 , 2.5 , 17.2 , 15.4 , 9.3 , 3.6 , 16.8 , 17.6 , 32.7 , 14.5 , 9.9 , 16.6 ,,,,,,,,
Mcpt2,Mcpt2,17225,"MMCP-2, Mcp-2",mast cell protease 2,,14_56021584_56044635,6, 0.48 ,2,-2.08,9.73409999,-1.02911073,0.571100867,-1.80197718,0.0715,0.99974,2,-2.04, 3.5 , 5.1 , 5.7 , 11.1 , -   , 12.6 , 4.7 , 16.4 , 12.5 , 24.9 , 8.4 , 12.1 ,,,,,,,,
Apcdd1,Apcdd1,494504,"AB023957, AU041258, Drapc1, EIG180",adenomatosis polyposis coli down-regulated 1,,18_62922327_62953195,5, 3.94 ,4,3.94,1.7109195,1.81079936,1.005364374,1.801137385,0.0717,0.99974,4,3.51, 4.3 , 2.5 , 2.3 , 3.1 , 2.3 , 1.8 , 1.4 , 1.2 , 1.6 , -   , -   , -   ,,,,,,,,
Idh3a,Idh3a,67834,"1110003P10Rik, 1500012E04Rik, AA407078, AI316514",isocitrate dehydrogenase 3 (NAD+) alpha,,9_54586511_54604662,11, 1.83 ,2,1.83,17.88531274,0.767965908,0.426563331,1.80035613,0.0718,0.99974,2,1.70, 16.5 , 55.6 , 18.4 , 16.0 , 23.3 , 9.0 , 20.8 , 9.7 , 10.9 , 15.5 , 6.9 , 12.1 ,,,,,,,,
9330159M07Rik,9330159M07Rik,319673,"1700096K11Rik, mU50hg-a",RIKEN cDNA 9330159M07 gene,,9_88841798_88858870,6, 0.39 ,3,-2.53,6.340199121,-1.261923939,0.701026334,-1.800109181,0.0718,0.99974,2,-2.40, 8.7 , -   , 4.6 , -   , 4.7 , 3.6 , 2.9 , 9.1 , 10.9 , 18.7 , 9.9 , 3.0 ,,,,,,,,
Kif18a,Kif18a,228421,"AU024633, B130001M12Rik, gcd2",kinesin family member 18A,,2_109280738_109341749,17, 2.04 ,2,2.04,5.847719337,1.095041276,0.608959173,1.798217886,0.0721,0.99974,2,2.14, 8.7 , 2.5 , 6.9 , 13.6 , 4.7 , 10.8 , 6.2 , 1.2 , 4.7 , 4.1 , 0.8 , 6.0 ,,,,,,,,
Cdc6,Cdc6,23834,CDC18L,cell division cycle 6,,11_98907699_98923942,15, 0.44 ,2,-2.26,7.122641509,-1.109033005,0.617240217,-1.796760766,0.0724,0.99974,2,-2.16, 3.5 , 2.5 , 4.6 , 6.8 , 3.5 , 5.4 , 6.9 , 1.2 , 12.5 , 13.5 , 20.6 , 4.5 ,,,,,,,,
Tob2,Tob2,57259,"2900090N22Rik, 4930545K18Rik, AV071822, mKIAA1663","transducer of ERBB2, 2",,15_81848270_81858326,2, 0.05 ,21,-20.96,1.128154346,-2.754587008,1.533420322,-1.796367876,0.0724,0.99974,7,-6.75, -   , -   , -   , 0.6 , -   , -   , 1.6 , -   , 1.6 , 8.3 , -   , 1.5 ,,,,,,,,
Zfp7,Zfp7,223669,"KRAB20, KRAB7, Krox-2, Zfp-7, Zfp65, Zfp80, Zfp86-rs1, mszf73-2",zinc finger protein 7,,15_76879217_76892395,5, 4.78 ,5,4.78,1.877664372,1.890213611,1.052334363,1.796210099,0.0725,0.99974,4,3.71, 4.3 , 2.5 , 5.7 , 3.7 , 2.3 , -   , 2.3 , 0.6 , -   , 1.0 , -   , -   ,,,,,,,,
Sec24a,Sec24a,77371,0,"Sec24 related gene family, member A (S. cerevisiae)",,11_51692263_51757280,25, 0.08 ,13,-13.05,1.018200307,-2.555890324,1.423396815,-1.795627401,0.0726,0.99974,6,-5.88, 0.9 , -   , -   , -   , -   , -   , 2.6 , -   , 4.7 , 1.0 , 1.5 , 1.5 ,,,,,,,,
Ppm1m,Ppm1m,67905,"2810423O19Rik, AW610647, C77250, PP2Ceta",protein phosphatase 1M,,9_106194953_106199233,11, 1.60 ,2,1.60,30.21711227,0.658668989,0.366829212,1.795573985,0.0726,0.99974,2,1.58, 28.7 , 50.5 , 29.8 , 43.8 , 41.9 , 28.7 , 24.6 , 14.0 , 3.1 , 35.2 , 33.6 , 28.7 ,,,,,,,,
Rnf6,Rnf6,74132,"1200013I08Rik, 5730419H05Rik, AA537053",ring finger protein (C3H2C3 type) 6,,5_146209193_146221457,8, 0.25 ,4,-3.94,2.734924983,-1.850713162,1.032041687,-1.79325427,0.0729,0.99974,4,-3.61, 0.9 , -   , 3.4 , -   , 2.3 , -   , 2.8 , 4.2 , 12.5 , 5.2 , -   , 1.5 ,,,,,,,,
Esco2,Esco2,71988,"2410004I17Rik, D030072L07Rik",establishment of sister chromatid cohesion N-acetyltransferase 2,,14_65819027_65833969,11, 1.58 ,2,1.58,200.2058687,0.658334356,0.367520366,1.791286737,0.0732,0.99974,2,1.58, 153.9 , 356.0 , 266.1 , 117.1 , 267.6 , 308.8 , 108.9 , 141.4 , 397.4 , 73.6 , 95.4 , 116.3 ,,,,,,,,
Usp33,Usp33,170822,"9830169D19Rik, AA409780, Vdu1",ubiquitin specific peptidase 33,,3_152346478_152393617,24, 1.78 ,2,1.78,18.98392675,0.757637531,0.423126336,1.79057049,0.0734,0.99974,2,1.69, 18.3 , 12.6 , 37.9 , 12.3 , 36.1 , 28.7 , 26.7 , 13.3 , 9.4 , 16.6 , 9.9 , 6.0 ,,,,,,,,
Hlx,Hlx,15284,Hlx1,H2.0-like homeobox,,1_184727143_184732493,4, 0.36 ,3,-2.77,3.930150551,-1.317371807,0.736425042,-1.788874267,0.0736,0.99974,2,-2.49, 4.3 , -   , 4.6 , 1.2 , 2.3 , -   , 3.1 , 5.5 , 1.6 , 9.3 , 9.2 , 6.0 ,,,,,,,,
Prkcb,Prkcb,18751,"PKC-B, PKC-Beta, Pkcb1, Prkcb2, Prkcb","protein kinase C, beta",,7_122289125_122634402,18, 1.65 ,2,1.65,27.97970076,0.697869924,0.390171934,1.788621538,0.0737,0.99974,2,1.62, 28.7 , 15.2 , 41.3 , 21.6 , 62.8 , 39.5 , 34.9 , 17.0 , 10.9 , 9.3 , 25.9 , 28.7 ,,,,,,,,
Zc3hc1,Zc3hc1,232679,"1110054L24Rik, AU018540, AU019789, HSPC216, Nipa","zinc finger, C3HC type 1",,6_30366384_30391040,11, 1.77 ,2,1.77,17.97360431,0.736825516,0.412120156,1.787890024,0.0738,0.99974,2,1.67, 23.5 , 32.8 , 18.4 , 28.4 , 22.1 , 12.6 , 26.4 , 10.9 , 14.0 , 14.5 , 9.2 , 3.0 ,,,,,,,,
Depdc1a,Depdc1a,76131,"5830484J08Rik, Depdc1",DEP domain containing 1a,,3_159495416_159529955,13, 1.60 ,2,1.60,25.0020663,0.666335981,0.372984751,1.786496579,0.0740,0.99974,2,1.59, 10.4 , 32.8 , 27.5 , 40.1 , 19.8 , 53.9 , 12.8 , 24.3 , 23.4 , 15.5 , 22.9 , 16.6 ,,,,,,,,
Ccdc32,Ccdc32,269336,Gm631,coiled-coil domain containing 32,,2_119017779_119029406,4, 0.63 ,2,-1.59,18.87054285,-0.612993684,0.34331426,-1.78551769,0.0742,0.99974,2,-1.53, 12.2 , 2.5 , 18.4 , 16.0 , 15.1 , 23.3 , 21.3 , 24.3 , 20.3 , 20.7 , 20.6 , 31.7 ,,,,,,,,
Ccdc150,Ccdc150,78016,4930511H11Rik,coiled-coil domain containing 150,,1_54250661_54368727,34, 3.31 ,3,3.31,1.164613156,2.303452058,1.290279643,1.785234752,0.0742,0.99974,5,4.94, 1.7 , 2.5 , 3.4 , 1.2 , -   , 1.8 , 0.2 , -   , 1.6 , -   , -   , 1.5 ,,,,,,,,
Mbnl1,Mbnl1,56758,"Mbnl, mKIAA0428",muscleblind like splicing factor 1,,3_60472788_60629750,18, 1.36 ,1,1.36,300.7155714,0.447498611,0.250759046,1.784576145,0.0743,0.99974,1,1.36, 246.1 , 489.9 , 479.4 , 205.3 , 311.8 , 350.0 , 199.9 , 237.2 , 381.8 , 206.3 , 231.9 , 268.8 ,,,,,,,,
Cyp2r1,Cyp2r1,244209,0,"cytochrome P450, family 2, subfamily r, polypeptide 1",,7_114550123_114565621,5, 0.26 ,4,-3.79,2.715358745,-1.735450981,0.972600134,-1.784341705,0.0744,0.99974,3,-3.33, 0.9 , -   , 2.3 , 1.8 , -   , 1.8 , 1.7 , 6.7 , 6.2 , 2.1 , -   , 9.1 ,,,,,,,,
Psme4,Psme4,103554,"AA409398, AU041366, TEMO, mKIAA0077","proteasome (prosome, macropain) activator subunit 4",,11_30771728_30880361,49, 1.36 ,1,1.36,283.9923033,0.437724197,0.245956079,1.779684401,0.0751,0.99974,1,1.35, 268.7 , 457.0 , 312.0 , 214.6 , 356.0 , 353.6 , 250.6 , 213.6 , 405.2 , 170.0 , 184.6 , 222.0 ,,,,,,,,
Wipi2,Wipi2,74781,"1110018O08Rik, 2510001I10Rik","WD repeat domain, phosphoinositide interacting 2",,5_142629535_142669672,12, 0.74 ,1,-1.35,181.7080927,-0.416476746,0.234078224,-1.779220375,0.0752,0.99974,1,-1.33, 195.7 , 138.9 , 159.4 , 165.2 , 135.0 , 134.6 , 113.8 , 202.1 , 174.5 , 253.9 , 217.5 , 289.9 ,,,,,,,,
Qsox2,Qsox2,227638,"BC030934, Qscn6l1, Soxn",quiescin Q6 sulfhydryl oxidase 2,,2_26209124_26237399,13, 0.14 ,7,-7.36,1.22876645,-2.313352277,1.300938947,-1.778217404,0.0754,0.99974,5,-4.97, -   , -   , 1.1 , 0.6 , -   , -   , 1.6 , 4.2 , 3.1 , 1.0 , -   , 3.0 ,,,,,,,,
Ralgapa1,Ralgapa1,56784,"2310003F20Rik, 4930400K19Rik, AI563624, GRIPE, Garnl1, Tulip1, mKIAA0884","Ral GTPase activating protein, alpha subunit 1",,12_55602890_55821575,46, 8.89 ,9,8.89,1.07164508,2.348723669,1.321121694,1.777825373,0.0754,0.99974,5,5.09, 0.9 , 2.5 , 3.4 , 1.2 , 3.5 , -   , 0.7 , 0.6 , -   , -   , -   , -   ,,,,,,,,
Bphl,Bphl,68021,"2010012D11Rik, 5730533B08Rik, AI115341","biphenyl hydrolase-like (serine hydrolase, breast epithelial mucin-associated antigen)",,13_34037585_34074074,7, 0.54 ,2,-1.85,8.501288422,-0.898112533,0.505499098,-1.77668474,0.0756,0.99974,2,-1.86, 4.3 , 7.6 , 10.3 , 2.5 , 9.3 , 1.8 , 9.2 , 13.3 , 15.6 , 11.4 , 6.1 , 10.6 ,,,,,,,,
Them4,Them4,75778,"2700077M13Rik, 4921507I02Rik",thioesterase superfamily member 4,,3_94310108_94332540,7, 0.05 ,22,-22.18,1.190842261,-2.811399726,1.582692228,-1.776340135,0.0757,0.99974,7,-7.02, -   , -   , -   , 0.6 , -   , -   , 1.6 , -   , -   , -   , 3.1 , 9.1 ,,,,,,,,
Sepn1,Sepn1,0,#N/A,#N/A,,#N/A,#N/A, 0.21 ,5,-4.74,1.831013378,-2.18725984,1.232532798,-1.774605791,0.0760,0.99974,5,-4.55, 0.9 , -   , -   , -   , 1.2 , 1.8 , 2.3 , 1.2 , 1.6 , 1.0 , -   , 12.1 ,,,,,,,,
Ccnl1,Ccnl1,56706,"2610030E23Rik, AU018493, Ccnl, ania-6a",cyclin L1,,3_65945908_65958394,14, 0.20 ,5,-5.03,2.182252701,-2.135131885,1.203878332,-1.773544575,0.0761,0.99974,4,-4.39, 0.9 , -   , 1.1 , -   , 2.3 , -   , 4.5 , -   , 14.0 , 1.0 , 0.8 , 1.5 ,,,,,,,,
Spnb2,Spnb2,0,#N/A,#N/A,,#N/A,#N/A, 2.08 ,2,2.08,11.72071989,0.964472736,0.544228585,1.772183163,0.0764,0.99974,2,1.95, 12.2 , 50.5 , 14.9 , 8.6 , 7.0 , 1.8 , 9.9 , 4.2 , 7.8 , 9.3 , 5.3 , 9.1 ,,,,,,,,
Stk3,Stk3,56274,"0610042I06Rik, MST, Mst2, Mst3, Ste20, mess1",serine/threonine kinase 3,,15_34875499_35155895,16, 1.49 ,1,1.49,170.8609383,0.578069154,0.326403386,1.77102683,0.0766,0.99974,1,1.49, 115.7 , 237.4 , 206.5 , 159.7 , 194.3 , 312.3 , 93.6 , 137.1 , 260.2 , 71.5 , 70.2 , 191.8 ,,,,,,,,
Csrp2,Csrp2,13008,"AW551867, Crp2, SmLim",cysteine and glycine-rich protein 2,,10_110920176_110939514,6, 0.53 ,2,-1.89,15.00951469,-0.874246222,0.493744981,-1.77064326,0.0766,0.99974,2,-1.83, 4.3 , 10.1 , 2.3 , 21.0 , 20.9 , 3.6 , 16.5 , 26.7 , 12.5 , 11.4 , 23.7 , 27.2 ,,,,,,,,
C330046G13Rik,C330046G13Rik,0,#N/A,#N/A,,#N/A,#N/A, 0.21 ,5,-4.77,1.577129116,-2.070820998,1.169614699,-1.770515538,0.0766,0.99974,4,-4.20, 0.9 , -   , -   , 0.6 , -   , 1.8 , 1.0 , 1.2 , 7.8 , 1.0 , 3.1 , 1.5 ,,,,,,,,
Tbc1d1,Tbc1d1,57915,"1110062G02Rik, AI385682, AW555803, Nob1, Nobq1, Tbc1, mKIAA1108","TBC1 domain family, member 1",,5_64156310_64351486,27, 0.43 ,2,-2.30,4.953474673,-1.197309972,0.67672498,-1.769271132,0.0768,0.99974,2,-2.29, 2.6 , 2.5 , 5.7 , 2.5 , 4.7 , -   , 9.7 , 1.8 , 4.7 , 6.2 , 14.5 , 4.5 ,,,,,,,,
Grtp1,Grtp1,66790,"5430401C05Rik, C81211, Tbc1d6",GH regulated TBC protein 1,,8_13176869_13200652,11, 1.81 ,2,1.81,7.842317583,0.878637535,0.497512212,1.766062247,0.0774,0.99974,2,1.84, 8.7 , 15.2 , 10.3 , 11.7 , 9.3 , 5.4 , 5.4 , 3.0 , 3.1 , 11.4 , 3.1 , 7.6 ,,,,,,,,
Gadd45g,Gadd45g,23882,"AI327420, C86281, CR6, DDIT2, OIG37",growth arrest and DNA-damage-inducible 45 gamma,,13_51846675_51848475,4, 0.53 ,2,-1.90,13.39393684,-0.986345603,0.559155647,-1.763991132,0.0777,0.99974,2,-1.98, 10.4 , 17.7 , 3.4 , 6.2 , 10.5 , 7.2 , 3.1 , 18.2 , 6.2 , 32.1 , 35.1 , 10.6 ,,,,,,,,
Fdx1,Fdx1,14148,0,ferredoxin 1,,9_51943023_51963602,5, 0.48 ,2,-2.07,15.50117908,-0.987588542,0.560174608,-1.763001264,0.0779,0.99974,2,-1.98, 24.3 , 2.5 , 3.4 , 14.8 , 1.2 , 14.4 , 13.7 , 18.2 , 21.8 , 40.4 , 26.7 , 4.5 ,,,,,,,,
Fam58b,Fam58b,69109,"1810009O10Rik, Fam58a","family with sequence similarity 58, member B",,11_78750506_78751729,1, 0.50 ,2,-2.02,7.6637235,-0.965875618,0.547923742,-1.762792054,0.0779,0.99974,2,-1.95, 2.6 , 5.1 , 2.3 , 10.5 , 4.7 , 5.4 , 15.4 , 7.3 , 14.0 , 10.4 , 3.8 , 10.6 ,,,,,,,,
Chordc1,Chordc1,66917,"1110001O09Rik, AA409036, Chp-1, morgana","cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1",,9_18292267_18314000,11, 1.37 ,1,1.37,58.98544375,0.435598046,0.247182329,1.762253991,0.0780,0.99974,1,1.35, 44.3 , 98.5 , 64.2 , 66.6 , 72.1 , 62.8 , 51.5 , 50.4 , 67.0 , 47.7 , 34.3 , 48.3 ,,,,,,,,
BC046404,BC046404,0,#N/A,#N/A,,#N/A,#N/A, 0.12 ,8,-8.14,1.342751907,-2.494713731,1.415990598,-1.761815181,0.0781,0.99974,6,-5.64, -   , -   , 1.1 , 0.6 , -   , -   , 1.0 , -   , 3.1 , 1.0 , 9.2 , -   ,,,,,,,,
Zfp62,Zfp62,22720,0,zinc finger protein 62,,11_49203189_49218816,5, 3.12 ,3,3.12,4.882695848,1.415401982,0.803544761,1.761447588,0.0782,0.99974,3,2.67, -   , 20.2 , 9.2 , 3.7 , 2.3 , 9.0 , 3.6 , 3.6 , 3.1 , -   , 3.8 , -   ,,,,,,,,
Trp53,Trp53,22059,"Tp53, bbl, bfy, bhy, p44, p53",transformation related protein 53,,11_69580359_69591873,12, 0.17 ,6,-5.82,1.496909214,-2.153374543,1.222688338,-1.761180242,0.0782,0.99974,4,-4.45, 0.9 , -   , 1.1 , 0.6 , -   , -   , 1.0 , 6.7 , 1.6 , -   , 1.5 , 4.5 ,,,,,,,,
Wdr13,Wdr13,73447,"1700060B08Rik, 5730411P10Rik, DXHXS7467e, W51679, mMg21",WD repeat domain 13,,X_8123301_8132858,9, 1.47 ,1,1.47,36.95084522,0.530493903,0.301327697,1.760521545,0.0783,0.99974,1,1.44, 46.1 , 40.4 , 72.3 , 28.4 , 37.2 , 39.5 , 42.1 , 30.3 , 35.8 , 28.0 , 22.1 , 21.1 ,,,,,,,,
Yap1,Yap1,22601,"AI325207, Yap, Yap65, Yki, Yorkie",yes-associated protein 1,,9_7931999_8004596,9, 1.91 ,2,1.91,10.10854332,0.829357217,0.471423127,1.7592629,0.0785,0.99974,2,1.78, 21.7 , 15.2 , 14.9 , 12.3 , 4.7 , 10.8 , 12.5 , 8.5 , 4.7 , 6.2 , 5.3 , 4.5 ,,,,,,,,
Zbtb32,Zbtb32,58206,"4930524C15Rik, FAXF, FAZF, PLZP, Rog, Tzfp",zinc finger and BTB domain containing 32,,7_30589680_30602820,8, 0.45 ,2,-2.23,5.863784008,-1.13401482,0.645214844,-1.757577079,0.0788,0.99974,2,-2.19, 3.5 , 2.5 , 6.9 , 2.5 , 4.7 , 1.8 , 6.4 , 6.1 , 3.1 , 23.8 , 6.1 , 3.0 ,,,,,,,,
Larp1b,Larp1b,214048,"1700108L22Rik, 4933421B21Rik, AA690246, Larp2","La ribonucleoprotein domain family, member 1B",,3_40949720_41040207,17, 1.72 ,2,1.72,56.39840823,0.779461037,0.443731167,1.756606464,0.0790,0.99974,2,1.72, 63.5 , 108.6 , 99.8 , 22.8 , 75.6 , 57.4 , 50.6 , 34.0 , 101.3 , 6.2 , 28.2 , 28.7 ,,,,,,,,
Bccip,Bccip,66165,"1110013J05Rik, TOK-1",BRCA2 and CDKN1A interacting protein,,7_133709333_133721145,7, 1.35 ,1,1.35,70.49190807,0.43005401,0.244894388,1.756079483,0.0791,0.99974,1,1.35, 107.8 , 106.1 , 73.4 , 57.3 , 73.3 , 68.2 , 66.4 , 55.2 , 65.5 , 44.6 , 48.1 , 80.0 ,,,,,,,,
LOC100504703,LOC100504703,0,#N/A,#N/A,,#N/A,#N/A, 4.46 ,4,4.46,1.750071797,1.994453681,1.135770429,1.75603593,0.0791,0.99974,4,3.98, 3.5 , 10.1 , -   , 0.6 , 1.2 , 1.8 , 0.7 , 0.6 , -   , 1.0 , -   , 1.5 ,,,,,,,,
A130010J15Rik,A130010J15Rik,319266,0,RIKEN cDNA A130010J15 gene,,1_193173469_193177837,2, 0.54 ,2,-1.87,11.0891916,-0.795875477,0.453429644,-1.75523477,0.0792,0.99974,2,-1.74, 7.8 , 7.6 , 8.0 , 12.9 , 4.7 , 5.4 , 10.1 , 6.7 , 14.0 , 21.8 , 14.5 , 19.6 ,,,,,,,,
Gimap9,Gimap9,317758,"A630002K24, BB145400","GTPase, IMAP family member 9",,6_48676121_48679116,3, 0.75 ,1,-1.33,47.55630699,-0.437843683,0.249586274,-1.754277897,0.0794,0.99974,1,-1.35, 33.9 , 48.0 , 40.1 , 30.2 , 47.7 , 44.9 , 59.1 , 41.9 , 62.3 , 68.4 , 45.8 , 48.3 ,,,,,,,,
Acin1,Acin1,56215,"2610036I19Rik, 2610510L13Rik, Acinus, Acn, C79325, acinusL, acinusS, mKIAA0670",apoptotic chromatin condensation inducer 1,,14_54642161_54686931,22, 0.59 ,2,-1.71,23.37601321,-0.697357876,0.397596574,-1.753933312,0.0794,0.99974,2,-1.62, 36.5 , 12.6 , 13.8 , 14.8 , 15.1 , 10.8 , 15.8 , 15.2 , 29.6 , 32.1 , 38.9 , 45.3 ,,,,,,,,
Dhrs3,Dhrs3,20148,"Rsdr1, retSDR1",dehydrogenase/reductase (SDR family) member 3,,4_144892608_144927645,9, 0.70 ,1,-1.42,36.66362793,-0.48964094,0.279303556,-1.753078075,0.0796,0.99974,1,-1.40, 32.2 , 25.3 , 33.3 , 36.4 , 18.6 , 35.9 , 30.3 , 55.8 , 34.3 , 44.6 , 46.5 , 46.8 ,,,,,,,,
